id,station_No,station_Name,station_English,line_Name,line_English,latitude,longitade
1,A01,西馬込駅,Nishi-magone,淺草線,Asakusa Line,35.587456,139.7039033
2,A02,馬込駅,Magome,淺草線,Asakusa Line,35.596386,139.7096413
3,A03,中延駅,Nakanobu,淺草線,Asakusa Line,35.6058183,139.7105667
4,A04,戸越駅,Togoshi,淺草線,Asakusa Line,35.6145248,139.7141437
5,A05,五反田駅,Gotanda,淺草線,Asakusa Line,35.6261781,139.7214175
6,A06,高輪台駅,Takanawadai,淺草線,Asakusa Line,35.631661,139.7281383
7,A07,泉岳寺駅,Sengakuji,淺草線,Asakusa Line,35.638132,139.7375253
8,A08,三田駅,Mita,淺草線,Asakusa Line,35.6480611,139.7463811
9,A09,大門駅,Daimon,淺草線,Asakusa Line,35.6565294,139.7521996
10,A10,新橋駅,Bimbashi,淺草線,Asakusa Line,35.6661322,139.7562236
11,A11,東銀座駅,Higashi-ginza,淺草線,Asakusa Line,35.6697003,139.7649512
12,A12,宝町駅,Takaracho,淺草線,Asakusa Line,35.6757268,139.7697575
13,A13,日本橋駅,Nihombashi,淺草線,Asakusa Line,35.6824445,139.7714287
14,A14,人形町駅,Ningyocho,淺草線,Asakusa Line,35.686239,139.7801593
15,A15,東日本橋駅,Higashi-nihombashi,淺草線,Asakusa Line,35.6921,139.7825608
16,A16,浅草橋駅,Asakusabashi,淺草線,Asakusa Line,35.697438,139.7817237
17,A17,蔵前駅,Kuramae,淺草線,Asakusa Line,35.703099,139.7886023
18,A18,浅草駅,Asakusa,淺草線,Asakusa Line,35.7105216,139.795675
19,A19,本所吾妻橋駅,Honjo-azumabashi,淺草線,Asakusa Line,35.708598,139.8023783
20,A20,押上駅,Oshiage,淺草線,Asakusa Line,35.71021,139.8102393
21,I01,目黑駅,Meguro,三田線,Mita Line,35.6338481,139.7135448
22,I02,白金台駅,Shirokanedai,三田線,Mita Line,35.6384172,139.7245855
23,I03,白金高輪駅,Shirokane-takanawa,三田線,Mita Line,35.642854,139.7318873
24,I04,三田駅,Mita,三田線,Mita Line,35.6480611,139.7463811
25,I05,芝公園駅,Shibakoen,三田線,Mita Line,35.6546433,139.7478343
26,I06,御成門駅,Onarimon,三田線,Mita Line,35.660563,139.7490508
27,I07,内幸町駅,Uchisaiwaicho,三田線,Mita Line,35.6693814,139.7529798
28,I08,日比谷駅,Hibiya,三田線,Mita Line,35.673962,139.7566063
29,I09,大手町駅,Otemachi,三田線,Mita Line,35.6834691,139.7605198
30,I10,神保町駅,Jimbocho,三田線,Mita Line,35.695932,139.7554383
31,I11,水道橋駅,Suidobashi,三田線,Mita Line,35.7029293,139.7533718
32,I12,春日駅,Kasuga,三田線,Mita Line,35.709986,139.7510773
33,I13,白山駅,Hakusan,三田線,Mita Line,35.7214787,139.7502147
