id,distance,time
1,1.2,2
2,0.9,1
3,1.1,2
4,1.6,3
5,0.7,1
6,1.4,3
7,1.1,2
8,1.5,3
9,1,2
10,0.9,2
11,0.8,1
12,0.8,1
13,0.8,1
14,0.7,1
15,0.7,1
16,0.7,1
17,0.9,2
18,0.7,1
19,0.8,1
20,1.3,3
21,1,2
22,1.7,3
23,0.6,1
24,0.7,1
25,1.1,2
26,0.9,2
27,0.9,2
28,1.4,3
29,1,2
30,0.7,1
31,1.4,3
32,1,2
33,0.9,2
34,1.4,3
35,1,2
36,0.9,2
37,1.2,2
38,0.9,2
39,1.1,2
40,0.9,2
41,1.2,2
42,0.8,1
43,1,2
44,0.7,1
45,0.8,1
46,0.8,1
47,1.5,3
48,1.4,3
49,1.3,3
50,0.6,1
51,0.9,2
52,0.8,1
53,0.8,1
54,0.6,1
55,0.8,1
56,0.8,1
57,0.9,2
58,1,2
59,0.7,1
60,1.2,2
61,1.7,3
62,1.7,3
63,1.7,3
64,1.5,2
65,2.8,3
66,1.4,2
67,1.5,2
68,0.9,2
69,1.6,3
70,1.6,3
71,1.3,2
72,0.8,1
73,1,2
74,1.2,2
75,0.8,1
76,0.8,1
77,0.6,1
78,1.5,3
79,1.2,2
80,1.3,2
81,1.1,2
82,0.8,1
83,1.3,2
84,0.9,2
85,0.9,2
86,1.5,3
87,0.8,1
88,1.4,2
89,1.2,2
90,0.6,1
91,1,2
92,1.2,2
93,1,2
94,0.8,1
95,1.1,2
96,0.8,1
97,1,2
98,1,2
99,1,2
100,0.6,1
101,1,2
102,1.4,2
103,0.8,1
104,1.3,2
105,0.7,1
106,0.7,1
107,1.3,2
108,0.9,2
109,0.6,1
110,0.8,1
111,0.9,2
112,0.7,1
113,0.7,1
114,0.6,1
115,0.7,1
116,1.1,2
117,0.6,1
118,0.5,1
119,0.7,1
120,0.7,1
121,0.8,1
122,1.5,3
123,1.2,2
124,0.9,2
125,1,2
126,1.1,2
127,1.1,2
128,0.8,1
129,0.3,1
130,0.7,1
131,0.9,2
132,1,2
133,1.3,2
134,0.9,2
135,0.7,1
136,1,2
137,1.1,2
138,0.6,1
139,0.9,2
140,0.8,1
141,0.8,1
142,0.8,1
143,1.8,3
144,1.2,2
145,1.8,3
146,1.3,2
147,0.6,1
148,1.3,2
149,1,2
150,1.5,3
151,1.7,3
152,1.5,2
153,1.3,2
154,1.2,2
155,0.4,1
156,0.4,1
157,0.6,1
158,1,2
159,0.5,1
160,0.9,2
161,0.6,1
162,0.9,2
163,1,2
164,0.5,1
165,1.2,2
166,1.2,2
167,0.8,1
168,2.1,3
169,2,3
170,1.9,3
171,1.7,3
172,1.2,2
173,1.2,2
174,0.7,1
175,1,2
176,1,2
177,0.8,1
178,0.5,1
179,1.8,3
180,1.1,2
181,0.9,2
182,1.2,2
183,2.7,3
184,1.2,2
185,1.9,3
186,1.2,2
187,1.5,3
188,1.3,2
189,2.1,3
190,1.9,3
191,1,2
192,1.2,2
193,0.9,2
194,1.4,2
195,1.1,2
196,0.8,1
197,0.8,1
198,0.8,1
199,0.7,1
200,0.7,1
201,1.3,2
202,1.2,2
203,1.2,2
204,1,2
205,0.9,2
206,1.7,3
207,2.6,3
208,2.6,3
209,2.1,2
210,2.2,3
211,1.4,2
212,1.8,3
213,1.4,2
214,1.5,2
215,1,2
216,1,2
217,1.2,2
218,0.9,2
219,1.1,2
220,0.3,1
221,1.6,2
222,1.1,2
223,0.9,2
224,0.9,2
225,0.9,2
226,1,2
227,0.5,1
228,0.7,1
229,1.3,2
230,1.4,2
231,1.7,2
232,1.5,2
233,1.3,2
234,1.4,2
235,1.4,2
236,1,2
237,1.6,2
238,0.4,1
239,1.7,3
240,0.7,1
241,1.3,2
242,1.7,3
243,1.9,3
244,1,2
245,1.4,2
246,1.3,2
247,1,2
248,1.3,2
249,1.2,2
250,0.9,2
251,0.9,2
252,1.3,2
253,1,2
254,1.1,2
255,1.4,2
256,1.3,2
257,0.9,2
258,1.4,2
259,1.4,2
260,1,2
261,1.2,2
262,1.6,2
263,1.1,2
264,2.2,3
265,1.4,2
266,1.8,3
267,1.4,2
268,1.5,3
269,1.1,2
270,1,2
271,0.9,2
272,1.8,3
273,1.5,2
274,0.9,2
275,1.1,2
276,1.4,2
277,1.2,2
278,1,2
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
